Timestamp, x, y, z, w
1.565968607979327e+18,1.594437030983e-02,1.011541499010e-03,8.203157342354e-01,5.716877207052e-01
1.565968608094816e+18,1.460445621777e-02,1.312676733290e-05,8.203825789925e-01,5.716284927923e-01
1.5659686081196076e+18,1.421524633870e-02,-5.183989955512e-04,8.204048691299e-01,5.716060782934e-01
1.565968608132424e+18,1.408998702010e-02,-4.155475077931e-04,8.203984827027e-01,5.716184296934e-01
1.5659686083507581e+18,9.576503197048e-03,-4.773789879061e-03,8.205718783908e-01,5.714431676999e-01
1.5659686083936668e+18,9.022860182014e-03,-4.962903714115e-03,8.205761448209e-01,5.714444401093e-01
1.5659686084427617e+18,8.579928289988e-03,-5.310363780579e-03,8.205950685664e-01,5.714209641863e-01
1.5659686084656786e+18,8.188384908105e-03,-5.932898745563e-03,8.205045260011e-01,5.715505873296e-01
1.565968608470754e+18,7.899315099294e-03,-6.375906431602e-03,8.204894540927e-01,5.715715216495e-01
1.5659686084793372e+18,7.983215012798e-03,-6.446526853389e-03,8.204312499629e-01,5.716531069223e-01
1.5659686084936515e+18,8.028825609372e-03,-6.381411595896e-03,8.204249459137e-01,5.716622461453e-01
1.565968608499424e+18,8.103605505384e-03,-6.026719904510e-03,8.204165726244e-01,5.716770570769e-01
1.565968608510671e+18,8.186871410052e-03,-6.045788350944e-03,8.204177284238e-01,5.716740106632e-01
1.565968608519387e+18,8.531890459496e-03,-5.949213841882e-03,8.204863426517e-01,5.715714961593e-01
1.565968608531314e+18,8.507059279075e-03,-6.170236121712e-03,8.204565111598e-01,5.716123436597e-01
1.5659686085393416e+18,8.838044236710e-03,-6.287253580102e-03,8.204854385157e-01,5.715645235669e-01
1.5659686085512328e+18,8.977767403957e-03,-6.467335895350e-03,8.204613984312e-01,5.715948450985e-01
1.5659686085592973e+18,8.998347983560e-03,-6.776765858433e-03,8.204442141206e-01,5.716156022137e-01
1.5659686085708355e+18,8.956046210218e-03,-6.939956773300e-03,8.204266189860e-01,5.716395622203e-01
1.5659686085793347e+18,9.066364178425e-03,-7.125752007094e-03,8.203565977516e-01,5.717360205763e-01
1.5659686085976008e+18,9.289467315739e-03,-7.110318745783e-03,8.203938601258e-01,5.716791612717e-01
1.5659686086005184e+18,9.504792087077e-03,-7.274090934203e-03,8.203268001156e-01,5.717697854386e-01
1.565968608610765e+18,9.755581768421e-03,-7.265888366463e-03,8.203787540928e-01,5.716911188079e-01
1.5659686086192986e+18,9.962320980394e-03,-7.291544266956e-03,8.203367980220e-01,5.717474296871e-01
1.5659686086306872e+18,1.025806457509e-02,-7.181851507884e-03,8.203520215171e-01,5.717217451810e-01
1.565968608639526e+18,1.044883841505e-02,-7.033187019195e-03,8.203658363860e-01,5.717003153286e-01
1.565968608653204e+18,1.025814819479e-02,-7.645451952105e-03,8.203459010813e-01,5.717245141142e-01
1.5659686086593073e+18,1.056270265982e-02,-6.972515375268e-03,8.203775849333e-01,5.716821070148e-01
1.565968608670754e+18,1.080049126939e-02,-6.707167544691e-03,8.203247432423e-01,5.717566605788e-01
1.5659686086792952e+18,1.106444885975e-02,-6.780675481601e-03,8.203353892060e-01,5.717354717241e-01
1.5659686086936896e+18,1.137371106008e-02,-6.858198839556e-03,8.202863399781e-01,5.717988494661e-01
1.5659686086994813e+18,1.161898715254e-02,-6.838586778637e-03,8.202463265631e-01,5.718515512160e-01
1.5659686087107325e+18,1.195642448377e-02,-6.759604945018e-03,8.202225561656e-01,5.718796289533e-01
1.5659686087193224e+18,1.233918752778e-02,-6.493221968142e-03,8.202004885944e-01,5.719062344731e-01
1.5659686087316032e+18,1.233222078073e-02,-6.698423271470e-03,8.202354588121e-01,5.718538620693e-01
1.5659686087392878e+18,1.260816630175e-02,-6.646045863252e-03,8.201995213446e-01,5.718999994780e-01
1.565968608750608e+18,1.277103896490e-02,-6.634957859243e-03,8.202338899563e-01,5.718472205625e-01
1.565968608759309e+18,1.292642024139e-02,-6.751086085677e-03,8.202119322548e-01,5.718738643121e-01
1.5659686087735785e+18,1.312319946109e-02,-6.655951700774e-03,8.202125567002e-01,5.718696020722e-01
